sku,name,aliases,price,unit,in_stock
0143,Drinking Tea Glass - 0143,"tea glass,drinking tea glass,glass 0143",2.5,each,1
0144,Drinking Tea Glass - 0144,"tea glass,drinking tea glass,glass 0144",2.5,each,1
0145,Drinking Tea Glass - 0145,"tea glass,drinking tea glass,glass 0145",2.7,each,1
JX-ZB11-0146,Drinking Tea Glass - JX-ZB11 - 0146,"tea glass,drinking tea glass,jx-zb11",2.01,each,1
0191,Glass Ash Tray Large 1202,"ash tray,glass ash tray large",1.3,each,1
0192,Glass Ash Tray Small 0192,"ash tray,glass ash tray small",0.51,each,1
0151,Drinking Water Glass - 0151,"water glass,drinking water glass",4.0,each,1
0862,Drinking Water Glass - 0862,"water glass,drinking water glass 0862",3.0,each,1
0861,Drinking Water Glass - 0861,"water glass,drinking water glass 0861",4.0,each,1
BMJ-6014BHT,Glass Water Jug Set - BMJ-6014BHT,"water jug set,glass water jug",7.0,each,1
4099,Food Container Round 1.75L - White,"food container round 1.75l,white bowl container",0.7,each,1
4085,Food Container 3pack 600ml 1200ml 2000ml - Black,"food container 3 pack,black food container",1.5,each,1
0666,Toilet Brush - 0666,"toilet brush,bathroom brush",1.0,each,1
Y-440,Toilet Brush - Y-440,"toilet brush y440,bathroom brush",1.0,each,1
10-1,Carpet Brush,"carpet brush,floor brush",0.7,each,1
LOTA,Lota,"lota,water lota",1.2,each,1
LOTA-LN,Lota Long Nose,"lota long nose,long nose lota",1.2,each,1
KIDS-CHAIR-PLASTIC,Chair for Kids Plastic,"kids chair,plastic chair for kids",2.4,each,1
1312,Dustpan and Brush 1312,"dustpan and brush,dust pan",0.76,each,1
DUSTPAN-ELITE,Dustpan and Brush ELITE,"dustpan and brush elite,dust pan",2.5,each,1
GB-R-L,Gift Basket Rectangle Large,"gift basket rectangle large,basket",2.5,each,1
GB-R-S,Gift Basket Rectangle Small,"gift basket rectangle small,basket",1.2,each,1
SWING-BIN-S,Swing Bin Small,"swing bin small,bin",2.0,each,1
DC-MJ-1.5L,DC - Measuring Jug 1.5L,"measuring jug 1.5l,jug",0.4,each,1
DC-MJ-2L,DC - Measuring Jug 2L,"measuring jug 2l,jug",0.5,each,1
LAUNDRY-BASKET,Laundry Basket,"laundry basket,clothes basket",3.0,each,1
VAC-FLASK-2L-BLK,Vacuum Flask 2L Black,"vacuum flask 2l black,flask",7.5,each,1
295E,Swing Bin 50L Mixed,"swing bin 50l,mixed bin",5.0,each,1
FC-SUPER-12L,Food Container SUPER 12000ml / 12L,"food container super 12l,container 12000ml",2.0,each,1
FC-SUPER-18L,Food Container SUPER 18000ml / 18L,"food container super 18l,container 18000ml",3.0,each,1
FC-SUPER-7.5L,Food Container SUPER 7500ml / 7.5L,"food container super 7.5l,container 7500ml",1.5,each,1
DC-BASIN-10,DC - Basin - 10in,"basin 10,bowl basin",0.55,each,1
DC-BASIN-12,DC - Basin - 12in,"basin 12,bowl basin",0.7,each,1
DC-BASIN-14,DC - Basin - 14in,"basin 14,bowl basin",1.2,each,1
DC-BASIN-16,DC - Basin - 16in,"basin 16,bowl basin",1.6,each,1
DC-BASIN-18,DC - Basin - 18in,"basin 18,bowl basin",2.2,each,1
DC-BASIN-20,DC - Basin - 20in,"basin 20,bowl basin",2.8,each,1
DC-BASIN-JUMBO,DC - Basin - JUMBO,"basin jumbo,bowl basin",3.51,each,1
0684,Kitchenware - Grater-4-Face--0684,"grater 4 face,kitchen grater",1.2,each,1
0690,Kitchenware - Whisk Medium - 0690,"whisk medium,kitchen whisk",0.8,each,1
0680,Kitchenware - Whisk Small - 0680,"whisk small,kitchen whisk",0.6,each,1
CUP-SAUCER-GIFT-1,Drinking Cups and Saucers Gift Set,"cups and saucers gift set",4.0,each,1
CERAMIC-TEA-CUP-SAUCER,Drinking Ceramic Tea Cups and Saucers Gift Set,"ceramic tea cups and saucers gift set",6.0,each,1
TEAPOT-1.5L,Tea Pot 1.5L,"tea pot 1.5l,teapot",4.0,each,1
TEAPOT-2L,Tea Pot 2L,"tea pot 2l,teapot",5.0,each,1
TEAPOT-3L,Tea Pot 3L,"tea pot 3l,teapot",6.0,each,1
TEAPOT-4L,Tea Pot 4L,"tea pot 4l,teapot",7.0,each,1
GLASS-TEAPOT-1000,Glass Tea Pot 1000ml,"glass tea pot 1000ml,teapot",3.5,each,1
GLASS-TEAPOT-1800,Glass Tea Pot 1800ml,"glass tea pot 1800ml,teapot",5.0,each,1
0414,Steel Tray 30cm,"steel tray 30cm,tray",1.0,each,1
0414-40,Steel Tray 40cm,"steel tray 40cm,tray",1.5,each,1
0415,Steel Tray 50cm,"steel tray 50cm,tray",2.0,each,1
0094,Chair Baby Chair Metal,"baby chair metal,chair",3.0,each,1
0005,Ball - Jumping Ball,"jumping ball,ball",2.01,each,1
KITCHEN-BASKET-4F-R,Kitchen-Basket-4-Floor Round,"kitchen basket 4 floor round,rack",4.5,each,1
KITCHEN-BASKET-4F-RECT,Kitchen Basket 4 Floor Rectangle,"kitchen basket 4 floor rectangle,rack",5.0,each,1
ZZ-ITEM-10,ZZ Unlisted Item 10 sweet bowl,"sweet bowl,zz unlisted item 10",3.0,each,1
